excerpt_name,entry_id,lead_id,annotator,lang,project_title,created_at,document,source_title,author_title,excerpt,sectors,country_code
a2a3_316493,316493,53883,annotator2,en,IMMAP/DFS Burkina Faso,2021-04-23 10:10:42.706921,https://www.calpnetwork.org/wp-content/uploads/2021/03/Cash-transfers-for-transport-to-health-centres-and-malnutrition-treatment-centres.pdf,Active Learning Network for Accountability and Performance in Humanitarian Action,Unknown,"The healthcare services covered by the free care policy are: 1. Surgical consultations and procedures; 2. Drugs and medical consumables, including blood products; 3. Additional tests (e.g. serology, radiography); 4. Hospital admission costs (hospitalisation, placing under observation); 5. Transportation for medical evacuations between healthcare facilities. However, by the government’s own admission, difficulties have been encountered in implementing this free care policy and monitoring its application. For instance, the fees charged have not been harmonised, reimbursement by the State can take up to six months and the total budget has become insufficient to honour 100% of the invoices issued. Consequently, there are regular reports by NGOs and patients of ‘informal’ fees being charged, particularly for primary health services and the purchase of medicines.",['Health'],BF
a3_316495,316495,53883,annotator3,en,IMMAP/DFS Burkina Faso,2021-04-23 10:10:43.016259,https://www.calpnetwork.org/wp-content/uploads/2021/03/Cash-transfers-for-transport-to-health-centres-and-malnutrition-treatment-centres.pdf,Active Learning Network for Accountability and Performance in Humanitarian Action,Unknown,"(Sahel) Although some progress has been made in the last 10 years, healthcare coverage in Sebba health district remains low (46% in 2013, 55% in 2017). A number of factors linked to the healthcare offering and demand for services might help explain this: a. Insufficient provision of health and nutrition services: • Sub-optimal quality of care, particularly due to high staff turnover and insufficient training of health workers in the various malnutrition treatment protocols; • Insufficient collection and analysis of health and nutrition data (recording, analysis, sharing), which limits the capacity to offer appropriate responses; • Shortages of drugs and other inputs, with recurring supply and quality-control problems; • Low rate of referral (20%) of cases of SAM between the different levels of care. b. A low SAM treatment service utilisation rate and late arrivals at the CRENI: • Lack of knowledge about the signs of SAM and appropriate treatments at the household and community levels; • Poor state of the road network in the province, especially during the rainy season; • Geographical distance between the village and the CRENI (sometimes more than 50 km) and difficulty of access during the rainy season when the level of the seasonal lakes and • Despite the free provision of care for under-fives, the associated costs such as transport or accommodation costs for parents accompanying their children discourage them from coming to the CRENI early or at all; • Mothers lack time as they must work the fields during the period that coincides with the SAM peak.",['Health' 'Nutrition'],BF
a2a3_299934,299934,52769,annotator3,en,IMMAP/DFS Burkina Faso,2021-04-01 12:43:48.885381,https://au.int/sites/default/files/documents/39878-doc-final-final-policy_paper-_gbv_in_africa_during_covid-19_pandemic.pdf,African Union,Unknown,"Actions continued in four regions, namely the East, the Sahel, the North Center and the Boucle du Mouhoun, particularly in the fight against child marriages and FGM, through the animation of safe spaces for adolescent girls to strengthen their life skills and knowledge on SRH and GBV. A total of 338 safe spaces, (194 in the East, 34 in the Sahel, 100 in the Boucle du Mouhoun, and 10 in the Center North), were opened to benefit 8,725 adolescents (6,797 girls and 1,928 boys). A total of 22 actors (so- cial workers, frontline health workers, security agents and justice agents) in the Center-North region were trained on gender-based violence, the referral mechanism, management services, guiding principles, frontline psychological sup- port and coordination between the different actors involved in the management of GBV cases and the WSPs in the context of COVID-19. 32 spaces were established within the framework of the CERF/COVID project for women and girls that continued to function to ensure the sustainability of the project’s achievements.",['Protection'],BF
a3_300160,300160,52157,annotator3,en,IMMAP/DFS Burkina Faso,2021-04-01 14:26:31.256677,http://documents1.worldbank.org/curated/en/525921614756103235/pdf/Tonnomas-Story-Womens-Work-and-Empowerment-in-Burkina-Faso.pdf,worldbank,Unknown,"The unemployment rate is higher for women than for men: in 2016, 20.2 percent of women (15 to 64 years old) were unemployed versus 8 percent of men. Labor market attachment is weak, with only 9.3 percent of unemployed women actively looking for a job (versus 4.1 percent of men). Among unemployed women, about 48 percent are housewives, 20 percent are students, and 11.7 percent are too old to work (Ministry of Women, National Solidarity, Family, and Humanitarian Affairs 2017). In rural areas, the unemployment rate is even higher: 26.5 percent for women and 9.9 percent for men (Ministry of Women, National Solidarity, Family, and Humanitarian Affairs 2017).",['Livelihoods'],BF
a2_316969,316969,53891,annotator2,en,IMMAP/DFS Burkina Faso,2021-04-23 13:50:50.502498,https://reliefweb.int/sites/reliefweb.int/files/resources/CB1086EN.pdf,ReliefWeb,Unknown,"The CAADP Malabo Results Framework and report include a gender-specific indicator “Growth Rate of the Proportion of Minimum Dietary Diversity-Women (ţMDDW)”, reflecting the proportion attaining a minimum dietary diversity, including micronutrient adequacy and targeting child undernutrition as well. There was little feedback on this indicator, except in West Africa, with countries reporting huge disparities in outcomes. For instance, the indica- tor showed positive growth rates, between 16 to 22 percent, in Burkina Faso, Niger and Senegal, while there was a sharp decline in dietary diversity in Guinea (100 percent), and in Ghana (37 percent). In other regions, only Burundi with 7.7 percent and Mauritania with 18 percent reported results for the parameter.",['Nutrition' 'Food Security'],BF
a3_316984,316984,53891,annotator3,en,IMMAP/DFS Burkina Faso,2021-04-23 13:50:55.393276,https://reliefweb.int/sites/reliefweb.int/files/resources/CB1086EN.pdf,ReliefWeb,Unknown,"[agriculture] Several countries reported lower woman’s participation in decision-making. For instance, the Ethiopian report says that, “traditionally, women are not given leadership roles and they are not taken seriously as decision-makers.” Men are five times more likely than women are to hold a leadership position within the cooperative. About 3 percent of the women who are in cooperatives hold such positions, while 15 percent of male cooperative members have some leadership roles within the cooperatives. Similarly, most reports quote that women hold less than 25 percent of the executive posts (Benin, Burkina Faso, Niger, Rwanda).",['Agriculture'],BF
a3_344117,344117,56512,annotator3,en,IMMAP/DFS Burkina Faso,2021-05-28 05:45:31.806869,https://allafrica.com/stories/202105190769.html,AllAfrica,Unknown,"Burkina Faso is facing one of the world's fastest-growing displacement crisis and increasing humanitarian needs as vulnerable families who represent 10 percent of the population -- over 2 million people -- have currently a very limited capacity to cover their overall food and nutritional needs. To date, 2.9 million are expected to face a stage of crisis during the lean season. The malnutrition situation has substantially deteriorated among children (under five years old) pregnant or breastfeeding women. The number of children suffering from malnutrition is likely to reach an alarming level during the lean season and as health centres in certain areas are expected to close or provide minimum services due to rising insecurity.",['Nutrition' 'Food Security'],BF
a1_387542,387542,60891,annotator1,en,IMMAP/DFS Burkina Faso,2021-07-29 13:50:35.495682,https://reliefweb.int/report/burkina-faso/burkina-faso-anticipating-immediate-consequences-conflict-agricultural,ReliefWeb,Unknown,"In 2019, FAO launched a pilot initiative on strengthening early warning and anticipatory action to mitigate the immediate consequences of conflict and displacement in Burkina Faso. The initiative stemmed from the recognition that while existing rapid response mechanisms answer immediate needs on water, shelter, health and food, there is limited capacity to do the same regarding consequences of conflict and violence on people's agricultural livelihoods. Under this initiative, FAO is strengthening strategic partnerships with a range of actors including the governmental and non-governmental entities closely involved in responding to ongoing displacement crises. FAO is also producing regular reports and alerts to support partners' efforts to ensure better coordination, consolidation and triangulation of information. In addition, FAO is setting up capacities for carrying out rapid assessments of immediate needs related to the impact of a violent event or a recent displacement within a maximum time of 10-15 days after the event.",['WASH' 'Health' 'Shelter' 'Food Security'],BF
a2_411328,411328,63303,annotator2,en,IMMAP/DFS Burkina Faso,2021-08-25 20:00:42.605915,https://reliefweb.int/report/burkina-faso/hunger-season-arrives-sahel,ReliefWeb,Unknown,"More than 29 million people in this region of West Africa face hunger and are in need of urgent assistance – triple the number just two years ago. In the Sahel – the semi-arid region of West Africa that borders the Sahara Desert in the north and tropical savannas in the south – the number of people at risk of food insecurity has tripled in just two years, bringing the figure to more than 29 million. Families are bracing themselves as they enter what’s known as the lean season, or the period after stored food has run out and before the next harvest begins. An estimated 811,000 people face emergency levels of hunger and require urgent assistance, a nearly eightfold increase since 2019.",['Food Security'],BF
a2_416219,416219,64013,annotator2,en,IMMAP/DFS Burkina Faso,2021-08-28 18:28:50.962557,https://docs.wfp.org/api/documents/WFP-0000130653/download/,World Food Programme,Unknown,"Violence is expected to intensify between NSAGs and self-defence groups, with an interlinked risk of increased intercommunal violence. Intra-regional insurgencies are highly likely to further consolidate in Mopti and Ségou in Mali; to further expand in Center-Nord, Sahel and East regions in Burkina Faso; as well as in Tahoua, Tillabéry, Maradi and Diffa in the Niger. In these locations, insecurity will likely displace even more people, affecting agropastoral activities and food insecurity. The number of displaced people is increasingly high: 1.2 million in Burkina Faso and 372 000 in Mali, while in Niger 300 000 people are internally displaced.",['Agriculture' 'Food Security' 'Livelihoods'],BF
a2_416210,416210,64013,annotator2,en,IMMAP/DFS Burkina Faso,2021-08-28 17:46:41.136626,https://docs.wfp.org/api/documents/WFP-0000130653/download/,World Food Programme,Unknown,"The report reiterates the alarming rate at which acute food security is rising globally, as was forewarned in the past three editions of the FAO-WFP Hunger Hotspots report. In 2020, 155 million people were estimated to be in acute high food insecurity (IPC/CH Phase 3 or above) across 55 countries/territories, up by 20 million from 2019; this negative trend is continuing well into 2021. Acute hunger is increasing not only in scale but also severity: overall, over 41 million people worldwide are now at risk of falling into famine or famine-like conditions, unless they receive immediate life and livelihood-saving assistance.",['Food Security'],BF
a3_250180,250180,47566,annotator3,en,IMMAP/DFS Burkina Faso,2021-02-03 15:55:40.418911,https://reliefweb.int/sites/reliefweb.int/files/resources/IPC_Burkina_Faso_Acute_Malnutrition_2020Oct2021July_English_summary.pdf,ReliefWeb,Unknown,"The factors contributing to acute malnutrition vary from one unit of analysis to another, however, we can conclude the following for provinces classified as Serious or above (IPC Phase 3 or above): low dietary diversity among women and children, poor infant and young child feeding practices, high prevalence of child morbidities (fever and diarrhoea), poor hygiene conditions (inaccessibility to sanitation facilities), low coverage of access to drinking water, the negative effects of the insecurity crisis which has led to massive population displacements in 6 out of 13 regions (North, Sahel, Centre East, Centre North, Boucle du Mouhoun, East), inter-community conflicts and the closure/malfunctioning of health structures in provinces with limited humanitarian access.",['Nutrition'],BF
a2_388211,388211,60896,annotator2,en,IMMAP/DFS Burkina Faso,2021-07-30 08:57:44.108558,https://reliefweb.int/report/burkina-faso/crisisinsight-weekly-picks-9-june-2021,ReliefWeb,Unknown,"On 5 June, a non-state armed group attacked Solhan village in Yagha province (Sahel region), killing 138 people and injuring dozens. Homes and the market were torched. The assailants first targeted the “Volontaires pour la défense de la patrie” (VDP), a self-defence militia, before entering the village and firing on the inhabitants. More than 3,300 people fled to the neighbouring villages of Sebba and Sampelga, with few or no personal belongings. Most of them were welcomed by host families. IDPs are in urgent need of WASH, shelter, non-fooditems and medical care. The attack was in the Liptako Gourma area, between Burkina Faso, Mali and Niger, where civilians, national and self-defence forces are regularly targeted by suspected Islamist armed groups. This is the deadliest attack recorded in Burkina Faso since 2015, Humanitarian response is underway.",['WASH' 'Health' 'Shelter'],BF
a1_239290,239290,47426,annotator1,en,IMMAP/DFS Bangladesh,2021-01-21 09:21:03.143367,https://www.dhakatribune.com/business/economy/2021/01/20/finance-minister-bangladesh-s-economy-rebounding-from-covid-19-shocks,dhakatribune,Unknown,"[20th January 2021, Bangladesh] But, following the Covid-19 pandemic, the high growth trend became a bit sloth, but still it posted the highest growth in Asia with 5.24% whereas the major Asian economies witnessed negative growth except China and Vietnam. He said the per capita income of the country has increased to $2,064, while the government has been implementing various short, mid-term and long-term plans giving priority on attaining high growth, maintaining the macroeconomic stability. The statement showed that the overall public expenditure in the FY20 stood at Tk4,15,548 crore, which is 6.03% higher than the previous fiscal year (FY19).",['Livelihoods'],BD
a3_239291,239291,47426,annotator3,en,IMMAP/DFS Bangladesh,2021-01-21 09:21:04.171667,https://www.dhakatribune.com/business/economy/2021/01/20/finance-minister-bangladesh-s-economy-rebounding-from-covid-19-shocks,dhakatribune,Unknown,"[20th January 2021, Bangladesh] In the first half of the current fiscal year (FY21), the overall public expenditure has reduced by 7.57%, ADP expenditure was reduced by 26.26%, while other expenditure has reduced by 1.28%. The finance minister said after successful completion of the 7th Five Year Plan, the government has also started implementation of the 8th Five Year Plan (2021-2025), 2nd Perspective Plan (2021-2041) and Delta Plan 2100. “Our desired goal is to turn Bangladesh into a happy and prosperous developed nation by 2041,” he added. He mentioned that to offset the shock from Covid-19, the government has so far rolled out some 23 stimulus packages involving a total sum of Tk1,24,053 crore, which is also 4.4% of the country’s GDP.“All will have to acknowledge it that this is a rare and courageous step in the history of Bangladesh,” the minister said.",['Livelihoods'],BD
a3_217398,217398,45641,annotator3,en,IMMAP/DFS Bangladesh,2020-12-16 08:03:41.868992,https://www.dhakatribune.com/opinion/op-ed/2020/12/15/op-ed-covid-19-vaccine-the-race-to-ensure-a-cure,dhakatribune,Unknown,"[15th December 2020, Bangladesh] Inactivated vaccines: It is remarkable that none of the scientifically advanced countries in the EU and countries like the US, the UK, Australia, and Japan have chosen and have not invested their money in inactivated vaccines (see Figure 1). Similarly, Bangladesh should stay away from the inactivated vaccines of Bharat Biotech, Sinovac, Sinopharm, Institute of Medical Biology of Chinese Academy of Medical Sciences, Research Institute for Biological Safety Problems of the Republic of Kazakhstan, and Shenzhen Kangtai Biological Products Co Ltd, among others.nOther than the scientifically questionable efficacy of inactivated vaccines, such vaccines like the Sinovac one ($60 per person) are very costly.",['Health'],BD
a2_228403,228403,46644,annotator2,en,IMMAP/DFS Bangladesh,2020-12-29 06:44:43.555256,https://www.dhakatribune.com/bangladesh/rohingya-crisis/2020/12/28/bangladesh-to-ship-new-group-of-1-100-rohingyas-to-bhashan-char-on-tuesday,dhakatribune,Unknown,"[28th December 2020, Bangladesh] 1,772 Rohingyas are expected to travel to their new home in Bhashan Char on Tuesday, joining 1,645 already living there Buoyed by the success of the first relocation over three weeks ago, the government is all set to transfer more than 1,000 Rohingyas from the camps in Cox's Bazar to Bhashan Char in Noakhali on Tuesday. These persecuted people will join with 1,645 of their fellow citizens, who were relocated to the island in the Bay of Bengal on December 4.Actually, 1,642 Rohingyas arrived in Bhashan Char on that day. Since then, three babies were born to take the number to 1,645.",['Protection'],BD
a2_228467,228467,46642,annotator2,en,IMMAP/DFS Bangladesh,2020-12-29 07:29:03.046609,https://www.dhakatribune.com/bangladesh/2020/12/28/cabinet-14-days-institutional-quarantine-mandatory-for-uk-returnees,dhakatribune,Unknown,"[28th December 2020, Bangladesh] The government will arrange for quarantine facilities at Ashkona Hajj Camp and Uttara Diabari, but the passenger will have to bear all the expenses. Also, the Civil Aviation Authority Bangladesh (CAAB) might arrange good hotels for quarantine if demanded by the passengers, he added. Responding to a question, the cabinet secretary said institutional quarantine will be mandatory even if a passenger brings negative report collected a day ago. A notification will be issued for the enforcement of the quarantine rule after a logical time of two-three days, said Secretary Khandker Anwarul. Later in the day, a virtual meeting chaired by the cabinet secretary, decided that this move will be implemented from January 1, 2021.",['Health'],BD
a1_241273,241273,47621,annotator1,en,IMMAP/DFS Bangladesh,2021-01-26 05:52:52.923659,https://www.dhakatribune.com/health/coronavirus/2021/01/24/why-is-the-under-18-population-missing-out-on-the-vaccine-priority-list,dhakatribune,Unknown,"[24th January 2021, Bangladesh] While schools are likely to be reopened after almost a year-long hiatus, the government has decided not to vaccinate the population under the age of 18, at least in the first phase. The government decision also banks on the fact that the severity of the virus is not the same in the younger population as that of the elderly. Hence young people will not be included in the first phase. At the same time, infectious disease experts also believe that it is not the right time to vaccinate children as it has not been tested on the underaged population yet.",['Health'],BD
a2_243867,243867,47891,annotator2,en,IMMAP/DFS Bangladesh,2021-01-28 04:48:32.839690,https://www.dhakatribune.com/bangladesh/2021/01/26/survey-32-people-willing-to-get-vaccinated-in-the-first-phase,dhakatribune,Unknown,"[26th January 2021, Bangladesh] Dhaka University’s (DU) Institute of Health Economics (IHE) and Bangladesh Como Modeling Team jointly conducted the study – which had a total of 3,560 participants from 16 upazilas of eight divisions and two Dhaka city corporations – from January 10 to January 25. They also found that around 52% of the respondents did not want to take the vaccine immediately as they were skeptical over the efficacy and safety of the vaccine doses and wanted to wait for a few weeks or months and if possible for a year following the start of the vaccination effort.",['Health'],BD
a2_247300,247300,48209,annotator2,en,IMMAP/DFS Bangladesh,2021-02-01 08:24:28.389309,https://www.dhakatribune.com/bangladesh/education/2021/01/30/hsc-equivalent-exam-results-2020-published,dhakatribune,Unknown,"[30th January 2021, Bangladesh] At the International Mother Language Institute ceremony, Education Minister Dipu Moni received the results from the chiefs of the 11 education boards. “A total of 161,807 students have achieved GPA-5, and all of 1,367,377 examinees have passed in the examinations, ” the minister told a press conference there afterwards. Education Minister Dipu Moni receives the results of last’s years HSC and equivalent exams from the chairmen of the education boards at a ceremony at the Intl Mother Language Institute in DhakaDhaka TribuneEarlier, the education minister had announced that as the examinations could not be held, students will be awarded their GPA (grade point average) after cumulating 75% of their SSC and 25% of their JSC or JDC results.",['Education'],BD
a3_241288,241288,47619,annotator3,en,IMMAP/DFS Bangladesh,2021-01-26 06:18:33.330078,https://www.dhakatribune.com/bangladesh/parliament/2021/01/24/no-bar-to-publish-hsc-results-as-house-clears-intermediate-and-secondary-education-bill,dhakatribune,Unknown,"[24th January 2021, Bangladesh] Three amendment bills were passed in parliament on Sunday, paving the path for publishing the results of the Higher Secondary Certificate (HSC) and equivalent examinations by January 28 without holding the tests. These bills are ""Intermediate and Secondary Education (Amendment) Bill 2021,"" ""Bangladesh Technical Education Board (Amendment) Bill 2021,"" and ""Bangladesh Madrasah Education Board (Amendment) Bill 2021."" Education Minister Dipu Moni moved the bills in the House and they were then passed by voice vote. It was proposed to promulgate three ordinances amending ""Intermediate and Secondary Education Ordinance 1961,"" ""Bangladesh Technical Education Board Act 2018,"" and ""Bangladesh Madrasah Education Board Act 2020"" to publish the results of the HSC and its equivalent examinations.",['Education'],BD
a2_262266,262266,49265,annotator2,en,IMMAP/DFS Bangladesh,2021-02-19 08:11:24.813163,https://www.theguardian.com/global-development/2021/feb/08/fighting-for-life-bangladesh-shrimp-farmers-destitute-in-wake-of-cyclone,theguardian,Unknown,"[8th February 2021, Bangladesh] About 80% of export orders for shrimp, worth about $54m (£39m), were cancelled between July and December last year. The drop in exports saw local shrimp prices more than halve. That came just weeks after Amphan, the fiercest storm to hit the region this century, destroyed boats and equipment.“This is causing a lot of trouble,” says Sardar. “Last year the Covid-19 virus andcyclonedropped me to zero. I have lost the capital for shrimp farming. I am carrying the burden of debt. I have become a day labourer from a shrimp farmer. I don’t know how it will go in the future.”",['Livelihoods'],BD
a1_267708,267708,49867,annotator1,en,IMMAP/DFS Bangladesh,2021-02-25 06:26:01.037572,https://www.dhakatribune.com/bangladesh/2021/02/20/covid-19-inoculations-bangladesh-reaping-benefits-of-epi,dhakatribune,Unknown,"[20th February 2021, Bangladesh] The successful completion of the first two weeks of the nationwide Covid-19 program demonstrates that the campaign has gained the trust of the general people, who have overcome their initial fears surrounding the vaccine. Health experts, virologists and physicians are of the opinion that despite this being the first mass level adult vaccination in the country, the process is going on without a hitch as Bangladesh already had the Expanded Program on Immunization (EPI) in place. Bangladesh initiated the EPI with six conventional vaccines — BCG, DPT, OPV, TT and Measles — at the outset in 1979.",['Health'],BD
a2_155380,155380,38509,annotator2,en,IMMAP/DFS Bangladesh,2020-09-08 04:38:33.040032,https://reliefweb.int/sites/reliefweb.int/files/resources/ISCG%20Situation%20Report%20-%20Rohingya%20Refugee%20Crisis%2C%20Cox%E2%80%99s%20Bazar%2C%20June%202020.pdf,ReliefWeb,Unknown,"The Sector developed COVID-19 specific guidance for distributions and emergency Shelter/NFI response. • 10,185 special NFI kits were provided to households with older persons. • 77 NFI kits including blankets, floor mats, mosquito nets, solar lamps, and kitchen utensils were provided to four quarantine centres. • 26 mid-term shelters were completed in June, reaching a total of 7,624 mid-term shelters constructed since 2018.4,213 partial Temporary Shelter Assistance 1 distributions including treated bamboo, tarpaulin, rope, GI wire, chain and lock, were provided to assist households whose shelters were in poor conditions and have not received assistance for a year or more.",['Shelter' 'Cross' 'Food Security'],BD
